,score
f1439,6
f901,6
f523,6
f1273,6
f360,6
f47,5
f1132,5
f311,5
f1332,5
f61,5
f500,5
f354,5
f1376,5
f1087,5
f1125,5
f654,5
f521,5
f956,5
f1053,5
f223,5
f148,5
f40,5
f1554,5
f1481,5
f401,5
f230,5
f721,5
f62,5
f329,5
f145,5
f240,5
f1558,5
f99,5
f302,5
f1484,5
f418,4
f202,4
f1220,4
f1073,4
f403,4
f1182,4
f1049,4
f54,4
f359,4
f1183,4
f1203,4
f71,4
f423,4
f869,4
f151,4
f404,4
f85,4
f424,4
f435,4
f63,4
f1159,4
f429,4
f553,4
f88,4
f438,4
f1394,4
f536,4
f1139,4
f1161,4
f92,4
f79,4
f1192,4
f24,4
f1035,4
f446,4
f786,4
f442,4
f245,4
f1089,4
f412,4
f211,4
f1181,4
f1059,4
f1272,4
f58,3
f796,3
f1244,3
f1582,3
f72,3
f803,3
f761,3
f52,3
f192,3
f1197,3
f1094,3
f178,3
f826,3
f274,3
f843,3
f1155,3
f1102,3
f655,3
f892,3
f232,3
f160,3
f222,3
f1523,3
f420,3
f739,3
f738,3
f888,3
f422,3
f156,3
f89,3
f405,3
f216,3
f21,3
f1174,3
f768,3
f640,3
f23,3
f535,3
f59,3
f908,3
f630,3
f1360,3
f212,3
f628,2
f493,2
f90,2
f883,2
f905,2
f912,2
f456,2
f495,2
f884,2
f27,2
f234,2
f166,2
f737,2
f241,2
f504,2
f31,2
f546,2
f191,2
f601,2
f1021,2
f898,2
f1443,2
f744,2
f788,2
f906,2
f1416,2
f1436,2
f378,2
f868,2
f55,2
f1086,2
f51,2
f793,2
f825,2
f1096,2
f36,2
f1130,2
f411,2
f560,2
f283,2
f705,2
f284,2
f1047,2
f600,2
f503,2
f380,2
f201,2
f907,2
f1003,2
f413,2
f522,2
f427,2
f516,2
f724,2
f490,2
f498,2
f214,2
f919,2
f479,2
f439,2
f1336,2
f269,2
f448,1
f250,1
f1126,1
f612,1
f1140,1
f372,1
f190,1
f1207,1
f790,1
f225,1
f1093,1
f717,1
f619,1
f454,1
f425,1
f328,1
f885,1
f325,1
f648,1
f1157,1
f992,1
f1103,1
f248,1
f259,1
f189,1
f373,1
f1269,1
f455,1
f650,1
f524,1
f1433,1
f226,1
f356,1
f458,1
f188,1
f543,1
f220,1
f614,1
f1194,1
f1068,1
f1534,1
f243,1
f636,1
f218,1
f13,1
f337,1
f1409,1
f118,1
f450,1
f638,1
f598,1
f971,1
f69,1
f491,1
f206,1
f621,1
f928,1
f545,1
f531,1
f25,1
f1136,1
f813,1
f519,1
f918,1
f1146,1
f1189,1
f528,1
f1444,1
f1154,1
f817,1
f512,1
f995,1
f265,1
f1150,1
f903,1
f238,1
f867,1
f1492,1
f198,1
f1287,1
f1060,1
f544,1
f816,1
f764,1
f610,1
f197,1
f357,1
f539,1
f526,1
f758,1
f1196,1
f778,1
f508,1
