,score
f605,14129
f0,2853
f606,2567
f1,765
f613,629
f896,598
f608,568
f897,539
f2,537
f2062,505
f677,441
f616,431
f672,431
f1348,423
f64,420
f1098,419
f1097,410
f610,404
f1459,403
f1351,400
f678,400
f993,374
f646,357
f1204,356
f612,333
f1834,329
f1721,325
f621,311
f996,302
f994,302
f741,299
f1710,295
f1461,279
f1463,279
f1590,276
f1203,255
f622,254
f2074,248
f684,244
f1742,244
f895,241
f1588,237
f1708,231
f679,229
f2168,225
f1208,217
f2066,217
f1207,215
f1250,208
f998,204
f1099,204
f3,203
f674,201
f800,201
f1682,200
f1100,200
f687,195
f1839,194
f1349,190
f1587,189
f1206,187
f1468,185
f2080,181
f629,178
f2068,177
f1619,172
f802,170
f1509,169
f1495,169
f1595,165
f1752,163
f625,163
f634,162
f1237,161
f2103,152
f1512,152
f1831,150
f1829,150
f1462,148
f898,148
f1743,147
f1594,146
f995,145
f1624,145
f2073,143
f624,143
f1637,140
f637,138
f1218,137
f689,135
f1478,134
f2072,132
f618,132
f1552,130
f1414,130
f1627,129
f841,129
f683,125
f2150,124
f1240,124
f2063,123
f1727,123
f808,122
f714,121
f1593,121
f1917,118
f1714,118
f1294,118
f831,117
f1544,117
f1551,117
f2124,116
f650,115
f1738,115
f2013,115
f1918,114
f117,113
f1458,112
f827,111
f638,107
f1267,106
f2011,105
f1279,104
f1541,104
f2113,104
f680,102
f805,101
f1625,100
f695,100
f1618,100
f1724,98
f1460,95
f2016,94
f2070,93
f1317,92
f1205,91
f1961,90
f615,88
f1955,87
f611,87
f2161,87
f1711,86
f2108,86
f623,85
f801,85
f2076,84
f1228,84
f2115,83
f1709,83
f1479,82
f2146,82
f4,81
f149,81
f1219,80
f1464,80
f1537,80
f1685,79
f2014,79
f1591,79
f8,78
f586,77
f1628,77
f1412,77
f1940,77
f2077,76
f635,75
f617,75
f2081,74
f2018,74
f1630,74
f2111,73
f686,72
f653,71
f1532,71
f1527,71
f632,71
f1225,70
f2123,70
f644,70
f1511,69
f647,69
f559,69
f642,68
f1101,68
f1830,66
f1534,66
f1473,66
f1688,65
f2133,64
f1952,63
f1259,63
f710,62
f626,62
f2112,61
f2064,61
f1644,60
f607,60
f1964,60
f2106,59
f1655,58
f1605,58
f2220,58
f858,58
f2126,57
f1494,57
f685,57
f1273,57
f1648,57
f1383,57
f1217,56
f2140,56
f1255,56
f1496,55
f93,55
f2175,55
f829,55
f1374,54
f955,54
f1539,53
f804,53
f1546,53
f1497,52
f2069,52
f35,51
f2071,50
f1106,50
f1525,50
f641,50
f1488,50
f1836,50
f2021,49
f1292,49
f1558,49
f657,49
f671,48
f799,48
f1499,48
f664,47
f675,47
f1500,47
f662,47
f1469,46
f1258,46
f817,46
f1601,46
f900,46
f2019,46
f2075,45
f614,45
f1264,45
f1744,45
f1350,44
f1521,44
f1251,44
f715,43
f1211,43
f1284,42
f1396,41
f2145,41
f908,41
f1947,41
f1239,41
f792,41
f905,41
f1510,40
f1380,40
f1634,40
f1304,40
f1902,40
f1673,40
f1272,40
f2116,40
f639,40
f2118,40
f5,40
f1241,39
f2078,39
f682,39
f917,39
f2028,39
f1489,38
f806,38
f1778,38
f1493,38
f1629,38
f2110,37
f780,37
f2067,37
f643,36
f1734,36
f2142,36
f696,36
f931,36
f1370,36
f746,36
f649,36
f140,36
f2128,35
f651,35
f1262,35
f1257,34
f630,34
f1645,34
f1835,34
f719,34
f1941,34
f1325,34
f2114,33
f822,33
f9,33
f1564,33
f77,32
f1492,32
f1212,32
f2135,32
f7,32
f1524,31
f855,31
f1653,31
f997,31
f1661,30
f832,30
f2117,30
f2222,30
f1643,30
f6,30
f2104,30
f636,29
f2020,29
f2210,29
f1491,29
f902,29
f1275,29
f2214,29
f815,28
f1548,28
f652,28
f1487,28
f1866,28
f734,28
f820,28
f1670,28
f1472,27
f1948,27
f1608,27
f56,27
f1960,26
f631,26
f1529,26
f2023,26
f1535,26
f768,26
f691,25
f1639,25
f2122,25
f1252,25
f834,25
f1556,25
f681,24
f1376,24
f1751,24
f2109,24
f1725,24
f941,23
f1716,23
f809,23
f2012,23
f1568,23
f1746,23
f694,23
f1859,22
f1059,22
f825,22
f1115,22
f1945,22
f1547,22
f1530,22
f1427,22
f927,22
f1371,22
f1833,21
f830,21
f2147,21
f627,21
f673,21
f1838,21
f759,21
f1542,21
f1536,21
f1718,21
f1465,20
f1375,20
f640,20
f145,20
f851,20
f1103,20
f814,20
f1373,20
f1566,19
f1226,19
f1060,19
f1538,19
f1641,19
f842,19
