,score
f1474,19
f1686,19
f2119,19
f2137,19
f850,18
f690,18
f816,18
f1382,18
f1266,18
f2022,18
f1392,18
f2120,18
f78,18
f1958,18
f659,17
f1467,17
f1391,17
f1358,17
f2200,17
f1265,17
f668,17
f1733,17
f66,17
f765,17
f720,17
f1388,17
f1297,17
f1533,17
f2130,17
f852,17
f2131,16
f108,16
f1411,16
f2065,16
f731,16
f1114,16
f1243,16
f2202,16
f537,16
f1347,16
f2190,15
f901,15
f811,15
f10,15
f929,15
f1633,15
f1944,15
f2102,15
f1384,15
f1293,15
f1617,14
f619,14
f922,14
f1697,14
f1543,14
f1942,14
f1731,14
f848,14
f2079,14
f1652,13
f1683,13
f934,13
f1700,13
f581,13
f823,13
f1842,13
f1815,13
f1387,13
f1843,13
f46,13
f1244,13
f1560,12
f939,12
f11,12
f1256,12
f791,12
f127,12
f2105,12
f856,12
f904,12
f2015,12
f2172,12
f826,12
f899,12
f96,12
f1549,12
f1638,11
f918,11
f1561,11
f1276,11
f1666,11
f2127,11
f2154,11
f1397,11
f2198,11
f916,11
f1818,11
f1309,11
f1301,11
f703,11
f1729,11
f1841,11
f122,11
f1466,11
f2212,11
f2204,11
f2221,11
f648,11
f1490,10
f1712,10
f1540,10
f1372,10
f591,10
f925,10
f692,10
f1701,10
f1144,10
f16,10
f1213,10
f1402,10
f67,10
f585,10
f1715,10
f865,10
f39,10
f504,10
f655,9
f44,9
f833,9
f1261,9
f1352,9
f1035,9
f920,9
f49,9
f1121,9
f849,9
f959,9
f45,9
f82,8
f2223,8
f43,8
f1117,8
f19,8
f48,8
f951,8
f1335,8
f1009,8
f828,8
f40,8
f1602,8
f724,8
f807,8
f1398,8
f541,8
f821,8
f2061,8
f1663,8
f1105,8
f790,8
f721,8
f1550,8
f1554,8
f837,7
f1045,7
f15,7
f870,7
f1801,7
f68,7
f1164,7
f1004,7
f106,7
f2107,7
f1021,7
f1031,7
f2196,7
f1401,7
f2236,7
f1270,7
f907,7
f810,7
f1545,7
f890,7
f1886,7
f1249,7
f1231,7
f1604,7
f956,6
f558,6
f966,6
f12,6
f2224,6
f1289,6
f2208,6
f932,6
f50,6
f1904,6
f1647,6
f950,6
f2151,6
f1832,6
f550,6
f2026,6
f760,6
f22,6
f1299,6
f1672,6
f911,6
f1994,6
f587,6
f798,6
f1642,6
f1282,6
f1728,6
f2171,5
f1342,5
f845,5
f1393,5
f1313,5
f1713,5
f2033,5
f754,5
f1336,5
f37,5
f1247,5
f785,5
f150,5
f1012,5
f1280,5
f2125,5
f1707,5
f909,5
f1565,5
f76,5
f1635,5
f2215,5
f2216,5
f161,5
f602,5
f1870,5
f1026,5
f669,5
f65,5
f1849,5
f2186,5
f107,5
f1553,5
f1957,5
f1658,5
f2166,5
f1949,5
f1306,5
f1283,4
f744,4
f1846,4
f2121,4
f1596,4
f2207,4
f561,4
f751,4
f1528,4
f2157,4
f163,4
f1053,4
f499,4
f813,4
f1260,4
f2211,4
f20,4
f1429,4
f555,4
f1278,4
f1287,4
f2197,4
f770,4
f2136,4
f1109,4
f1126,4
f1006,4
f711,4
f61,4
f110,4
f928,4
f942,4
f864,4
f663,4
f24,4
f2148,4
f1654,4
f948,4
f1277,4
f1623,4
f926,3
f142,3
f863,3
f670,3
f688,3
f1690,3
f1692,3
f2201,3
f1296,3
f882,3
f913,3
f1563,3
f1695,3
f1513,3
f702,3
f1502,3
f1013,3
f840,3
f1403,3
f2226,3
f930,3
f1877,3
f795,3
f2237,3
f567,3
f676,3
f1003,3
f2132,3
f883,3
f63,3
f18,3
f732,3
f2191,3
f1000,3
f701,3
f2206,3
f86,3
f609,3
f733,3
f1689,3
f794,3
f2199,3
f27,3
f1592,3
f2188,3
f1702,3
f42,3
f1597,3
f1271,3
f1390,3
f1227,3
f552,3
f1254,3
f1991,3
f2195,3
f53,3
f750,3
f21,3
f726,3
f839,3
f1669,3
f812,3
f1408,3
f1632,2
f761,2
f910,2
f1640,2
f1298,2
f1416,2
f952,2
f779,2
f803,2
f1454,2
f1295,2
f583,2
f1631,2
f1606,2
f1406,2
f1312,2
f661,2
f1555,2
f1354,2
f36,2
f540,2
f1055,2
f1583,2
f755,2
f1138,2
f502,2
f1424,2
f1150,2
f937,2
f945,2
f1248,2
f70,2
f1140,2
f25,2
f1953,2
f71,2
f1603,2
f69,2
f60,2
f55,2
f773,2
f1379,2
f1649,2
f666,2
f1667,2
f571,2
f940,2
f1668,2
f874,2
f1148,2
f1956,2
f1613,2
f17,2
f1165,2
f818,2
f1954,2
f1033,2
f915,2
f1005,2
f31,2
f1311,2
f1054,2
f1263,2
f1569,2
f112,2
f2194,2
f1650,2
f708,2
f1407,2
f1514,2
f94,2
f543,2
f1415,2
f501,2
f247,2
f1691,2
f530,2
f1979,2
f906,2
f1043,2
f2002,2
f712,2
f13,1
f1016,1
f1041,1
f1056,1
f1946,1
f964,1
f1215,1
f748,1
f1158,1
f1032,1
f912,1
f753,1
f1220,1
f866,1
f495,1
f1122,1
f1950,1
f1014,1
f2213,1
f867,1
f47,1
f835,1
f1531,1
f1011,1
f1029,1
f1063,1
f1238,1
f970,1
f1268,1
f95,1
f1274,1
f727,1
f89,1
f91,1
f1418,1
f784,1
f1399,1
f1020,1
f1600,1
f1141,1
f1636,1
f1136,1
f1671,1
f1034,1
f775,1
f2187,1
f98,1
f1036,1
f2227,1
f971,1
f59,1
f105,1
f1943,1
f1049,1
f119,1
f2153,1
f452,1
f728,1
f58,1
f933,1
f512,1
f1656,1
f534,1
f1046,1
f1783,1
f2217,1
f1288,1
f1113,1
f1008,1
f2209,1
f923,1
f542,1
f1400,1
f1557,1
f1926,1
f14,1
f79,1
f85,1
f1559,1
f1626,1
f949,1
f551,1
f143,1
f1599,1
f730,1
f1526,1
f500,1
f156,1
f2129,1
f757,1
f90,1
f1110,1
f1015,1
f26,1
f514,1
f729,1
f989,1
f2203,1
f38,1
f740,1
f532,1
f2219,1
f1438,1
f1377,1
f604,1
f1160,1
f2169,1
f147,1
f560,1
f572,1
f1068,1
