,score
f1244,4
f1125,4
f867,4
f201,4
f156,4
f359,4
f1273,4
f92,4
f1094,4
f23,4
f1082,3
f1460,3
f479,3
f761,3
f655,3
f901,3
f13,3
f166,3
f404,3
f413,3
f198,3
f1055,3
f786,3
f1003,3
f79,3
f505,3
f62,3
f1096,3
f357,3
f1174,3
f24,3
f57,3
f206,3
f223,3
f832,3
f308,3
f490,3
f869,3
f47,3
f1394,3
f91,3
f36,3
f118,3
f498,3
f412,3
f316,3
f1059,3
f245,3
f1185,3
f192,3
f778,3
f1180,3
f297,3
f502,3
f285,3
f363,3
f423,2
f543,2
f1523,2
f753,2
f898,2
f364,2
f240,2
f182,2
f264,2
f768,2
f427,2
f260,2
f906,2
f546,2
f545,2
f1197,2
f403,2
f1089,2
f1181,2
f99,2
f735,2
f461,2
f1150,2
f311,2
f1479,2
f274,2
f1155,2
f531,2
f1139,2
f203,2
f459,2
f1179,2
f178,2
f1439,2
f1220,2
f519,2
f241,2
f1481,2
f51,2
f17,2
f533,2
f813,2
f1469,2
f1376,2
f495,2
f883,2
f435,2
f330,2
f764,2
f1534,2
f85,2
f1136,2
f90,2
f744,2
f847,2
f890,2
f422,2
f796,2
f880,2
f884,2
f220,2
f493,2
f522,1
f648,1
f971,1
f1444,1
f207,1
f21,1
f263,1
f454,1
f903,1
f510,1
f1157,1
f337,1
f26,1
f1073,1
f910,1
f1047,1
f647,1
f639,1
f1126,1
f633,1
f1130,1
f552,1
f508,1
f1443,1
f1021,1
f252,1
f247,1
f918,1
f411,1
f724,1
f160,1
f526,1
f1216,1
f1113,1
f262,1
f1465,1
f1308,1
f710,1
f59,1
f630,1
f908,1
f27,1
f560,1
f1116,1
f253,1
f1104,1
f641,1
f528,1
f314,1
f329,1
f738,1
f14,1
f1517,1
f919,1
f88,1
f151,1
f520,1
f425,1
f217,1
f55,1
f553,1
f650,1
f75,1
f202,1
f148,1
f542,1
f218,1
f29,1
f34,1
f1146,1
f63,1
f325,1
f230,1
f1440,1
f256,1
f649,1
f928,1
f491,1
f426,1
f265,1
f293,1
f366,1
f504,1
f1159,1
f1070,1
f914,1
f439,1
f226,1
